village_code,village_name,subdistrict_code,num_households,centre_lat,centre_long,ne_lat, ne_long,sw_lat,sw_long
143705,Miran Pur,822,239.0,29.2927132,77.9453091,29.3024285,77.9632007,29.2756423,77.9335061
178522,Tusail,937,310.0,27.0937431,82.6901934,27.1017301,82.70139,27.0882801,82.68124
143708,Gautam Khera,822,195.0,26.6052673,80.9691475,26.61714,80.9831,26.59551,80.9556699
178525,Piparahia,937,153.0,26.7100061,83.7955818,26.7147299,83.80099,26.70587,83.79198
143710,Kushmaura,822,453.0,26.5891031,80.9677658,26.6003,80.9804399,26.5765899,80.95145
178527,Turkaulia Rai,937,117.0,27.0987677,82.7306681,27.10634,82.739,27.0938801,82.72185
178528,Parsohia,937,148.0,27.1064294,82.7374115,27.1147501,82.74586,27.10117,82.7276
178529,Kolhui,937,222.0,27.3059462,83.3388608,27.3131501,83.3489799,27.2956901,83.3209599
178530,Sagara Khas,937,217.0,27.0952854,82.7481996,27.1051901,82.75926,27.08555,82.7365599
178531,Ahiraulla,937,185.0,27.0885988,82.7320168,27.0943701,82.7400701,27.07851,82.72275
178532,Hariharpur,937,108.0,26.6643802,83.0025643,26.6713911,83.00982,26.6584283,82.9950142
143717,Bindaua,822,304.0,26.639349,80.9995387,26.65205,81.00759,26.6296201,80.99348
178534,Barhyalal Singh,937,183.0,27.1019701,82.7643784,27.11421,82.7761,27.08287,82.7507599
178536,Atardeeha,937,172.0,26.1315762,82.6199801,26.1365999,82.6259199,26.1251399,82.6113698
178537,Patwaria,937,315.0,26.9369064,83.0616419,26.9441001,83.06683,26.9321399,83.0587401
143722,Kubhara,822,405.0,26.646967,81.0506249,26.6567801,81.0610699,26.63772,81.04306
178539,Gandharia Bujurg,937,191.0,27.0837167,82.7792057,27.0925099,82.79657,27.0734299,82.76898
178540,Gandharia Khurd,937,118.0,27.0750778,82.7819012,27.08287,82.7872699,27.0700801,82.77531
178542,Deideeha,937,117.0,26.9616527,82.7387601,26.96724,82.74511,26.9568,82.73344
143727,Jamalpur Daduri,822,293.0,26.6628241,81.1168494,26.6754601,81.12597,26.6540101,81.10421
178544,Belgari,937,130.0,26.7796002,82.74348,26.78315,82.74842,26.77648,82.73837
178546,Tarauthi,937,234.0,27.0650529,82.7576377,27.06993,82.7676999,27.05867,82.74622
178547,Kusumhi Kuwar,937,111.0,27.0565527,82.7630304,27.0605499,82.76725,27.05137,82.75432
178548,Thumhawa,937,104.0,27.0612931,82.7414572,27.0674999,82.7465701,27.0561101,82.7346999
143733,Mastipur,822,303.0,27.7772293,80.1644373,27.7852999,80.1696199,27.77367,80.1563301
178550,Gadahpur Chak Agya,937,104.0,27.0660293,82.7198772,27.07175,82.72739,27.0621599,82.71517
178551,Piraila Garib,937,161.0,27.0590639,82.7266217,27.06826,82.7321599,27.05403,82.71883
178557,Banke Chore,937,214.0,27.0430411,82.7279705,27.0492,82.73564,27.0369699,82.71817
178558,Bardarh Nankar,937,129.0,27.0350989,82.7299937,27.03782,82.73386,27.03164,82.7247299
178559,Laximanpur,937,127.0,27.0796777,82.700989,27.08602,82.70793,27.0727701,82.69152
143745,Beer Singh Pur,822,347.0,26.5406583,81.0105872,26.54928,81.02931,26.53099,80.9977001
178562,Parsa Kutub,937,328.0,27.062676,82.6834453,27.0714299,82.69477,27.05503,82.67712
178564,Ghosarh,937,204.0,27.0530675,82.6955914,27.05877,82.7018,27.0473201,82.68693
