region_code,region_name,tehsil_code,num_households,centre_lat,centre_long,ne_lat, ne_long,sw_lat,sw_long
135618,Rampur Misra,800,288.0,28.7788335,79.2690761,28.7872401,79.27811,28.77295,79.2555499
135958,Sahupur,800,115.0,25.9910109,83.6866967,25.99836,83.7011799,25.9845901,83.67522
215513,Tilsai Kalan,1010,361.0,27.76302,78.6483843,27.7671,78.6613501,27.75326,78.64313
191256,Majhouha,962,140.0,26.3223938,83.8671821,26.33004,83.8746899,26.3172999,83.8614701
191258,Khakhari,962,332.0,26.3219406,83.8565799,26.3289999,83.86211,26.3166599,83.8511
191260,Parsia Bhagouti,962,318.0,26.3131201,83.8565799,26.3170899,83.86161,26.3083499,83.85133
215514,Kuramai,1010,762.0,27.7442587,78.6313624,27.7527599,78.6468601,27.7352101,78.6154
191263,Balepur Kala,962,283.0,26.3105196,83.8645317,26.31461,83.8706,26.3065,83.8599301
135969,Paikipur,800,117.0,27.8224973,80.2725524,27.8264,80.27498,27.81715,80.26569
191266,Rampur Buzurg,962,431.0,26.2447692,84.1126475,26.2471154,84.1144396,26.2437473,84.108823
191267,Dhan Purwa,962,167.0,26.3119867,83.8989777,26.31793,83.9053099,26.30712,83.89465
135972,Ghurha Khurram Nagar,800,395.0,27.8182138,80.2530412,27.8254299,80.26122,27.8121,80.23719
191271,Chandpalia,962,226.0,26.2926675,83.8787809,26.29539,83.8856399,26.2894144,83.8739517
191272,Ithua Caanpouli,962,225.0,26.2885498,83.8763953,26.29267,83.88891,26.28012,83.87072
191273,Chakra Gosai,962,322.0,26.2839423,83.8618812,26.28796,83.87311,26.27912,83.8502099
135978,Gadnapur,800,130.0,27.359133,79.7666227,27.3656301,79.7726701,27.3542299,79.76006
135980,Maqsudpur,800,719.0,30.1338297,77.4615923,30.14117,77.46844,30.1299699,77.4537
135981,Bhogipurmani,800,142.0,27.7948028,80.2502535,27.80196,80.25801,27.7907499,80.24168
191278,Pakri Lala,962,222.0,26.2884622,83.8989777,26.29199,83.9040499,26.2819101,83.8941001
191279,Chakbandi Urf Bimahi,962,161.0,26.315859,83.9036132,26.3194799,83.90624,26.31152,83.9014901
191280,Siswa Pandey,962,186.0,26.3183171,83.9095726,26.32504,83.91388,26.31245,83.9046601
135985,Sahjanarampur Banvari,800,171.0,27.7876468,80.2516473,27.79141,80.26154,27.78035,80.24365
135987,Dariabad Karam Husan,800,307.0,27.7536087,80.2627973,27.7714,80.2723601,27.74068,80.25276
135988,Ghaghpur,800,322.0,27.7659794,80.2530412,27.78037,80.26003,27.7511299,80.23917
135989,Sohauna,800,261.0,27.7752481,80.2404959,27.7837899,80.2504001,27.7615,80.2305
135991,Bargadiya,800,132.0,27.244484,80.7034222,27.2492,80.70952,27.2389701,80.69726
191289,Banjaria,962,164.0,27.0728301,83.042179,27.07552,83.0471563,27.0680684,83.0379724
135997,Uderha,800,458.0,27.8032495,80.3909164,27.81774,80.40936,27.79279,80.3769801
191294,Kodra Dirgah,962,148.0,26.3509616,83.9340662,26.35459,83.9372201,26.3478699,83.9295999
135999,Dhakhia Devi,800,102.0,27.8092406,80.3728245,27.81604,80.37949,27.80458,80.3644101
136000,Dhakia Roup,800,191.0,27.811363,80.361689,27.8222699,80.3818401,27.7979901,80.3498
191297,Khurdhar Khor,962,173.0,26.3334676,83.9201656,26.3379701,83.9264199,26.3298899,83.9161699
136003,Devi Bojhi,800,106.0,27.8105661,80.3296664,27.82109,80.3402701,27.80199,80.3084399
191300,Haraia Pandit,962,131.0,26.3256898,83.9274473,26.33081,83.9337199,26.31629,83.92196
136006,Kaimta Banwari,800,100.0,27.8005217,80.3519443,27.8086001,80.3601501,27.79091,80.34237
191303,Chakarwa Bahordas,962,202.0,26.313109,83.9254615,26.31646,83.92824,26.30669,83.92037
